0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0.120000005,0.120933294,0.13012168,0.14191529,0.1463,0.1494,0.15149999,0.1463,0.13404155,0.131748,0.13295071,0.12739083,0.12539999,0.108899996,0.10839999,0.11029999,0.09702289,0.099088,0.08356365,0.06880002,0.0687,0.06069998,0.054900013,0.048564713,0.04064588,0.03622552,0.031389914,0.032999992,0.025700014,0.026400011,0.021487039,0.022462448,0.027478537,0.020741146,0.023699999,0.024099987,0.022100013,0.031700015,0.031114262,0.02802968,0.028880518,0.023699999,0.032400012,0.031400006,0.028300008,0.0509731,0.06266932,0.07019647,0.06676503,0.045399986,0.030099988,0.00940001
0.8195276,0.87733406,0.9392876,0.959563,0.9547571,0.978723,0.98009586,0.88579345,0.7566415,0.64402384,0.5757953,0.52979106,0.486238,0.45393524,0.42480963,0.38746113,0.34780645,0.28601238,0.22402208,0.17711076,0.12923393,0.09064329,0.057559967,0.03406938,0.015129845,0.0022303662,0.6619865,0.6157092,0.5998665,0.020071547,0.035826962,0.059838414,0.08062661,0.10203855,0.11620729,0.13403293,0.1572454,0.18140928,0.19844973,0.20703602,0.21108851,0.20951888,0.21360628,0.21666448,0.22949621,0.26868457,0.35284662,0.4117481,0.42910323,0.3700908,0.21925995,0.11182368
1.1794771,1.2189869,1.2491916,1.1877792,1.1735805,1.1563501,1.1263733,1.0450366,0.90350556,0.78250027,0.7312231,0.66896176,0.6363949,0.6148176,0.5990483,0.5754864,0.5680269,0.5335344,0.49662012,0.46567553,0.4241776,0.3950634,0.37750912,0.3638153,0.3528456,0.3396322,0.34300908,0.33913422,0.34781465,0.3678031,0.38568848,0.39967626,0.40903878,0.42280945,0.4338561,0.44740814,0.47612032,0.49991298,0.5099701,0.50804156,0.49590048,0.4773698,0.44840336,0.42504567,0.43644398,0.48248857,0.562168,0.6128966,0.61010695,0.54780626,0.4137281,0.30468953
0.21114402,0.22449455,0.23729739,0.24610615,0.258016,0.26557702,0.265934,0.25309896,0.2431231,0.23683453,0.23391645,0.22588639,0.21399999,0.200925,0.18749301,0.17575602,0.16437542,0.14932716,0.13464057,0.123137996,0.111307025,0.10037701,0.08984399,0.08312877,0.07340658,0.06410448,0.055178564,0.04894201,0.043125987,0.039021015,0.03678751,0.035429876,0.03489101,0.03266255,0.031768005,0.031505983,0.034249984,0.037207007,0.038106166,0.038535755,0.03896769,0.037282985,0.034746014,0.03547899,0.047267996,0.0677989,0.09384283,0.099557996,0.07921362,0.051760994,0.023839992,0.010733008
0.016559005,0.017267704,0.018251222,0.019309958,0.02005601,0.021083992,0.021430016,0.020764988,0.019785047,0.018651208,0.017909568,0.0170091,0.01614499,0.015155992,0.014330983,0.013642987,0.012678742,0.010981004,0.009048343,0.0075529814,0.0062650046,0.005317013,0.004678011,0.004365166,0.0040396852,0.003734549,0.0032598972,0.0027449927,0.0021500192,0.0017350118,0.0015050173,0.0013565223,0.0013233026,0.001353105,0.0013540189,0.0013879936,0.0014299949,0.001568993,0.0016899109,0.00177598,0.0018107097,0.0018190145,0.0017619928,0.001707991,0.0018140078,0.0023130178,0.0035598278,0.004424771,0.0043604374,0.0035479865,0.002000014,0.000898997
0.30087,0.29839802,0.28683802,0.29265803,0.31215,0.302881,0.301856,0.32685003,0.28861102,0.253113,0.28009102,0.27006704,0.24900803,0.22411501,0.21198599,0.20197701,0.18571302,0.19693701,0.18077898,0.160152,0.13685402,0.12045201,0.115714,0.098128006,0.08758502,0.077708006,0.07315799,0.06308099,0.053464018,0.060650986,0.051935,0.051126003,0.057050984,0.054915987,0.053599995,0.051565014,0.05963699,0.06794699,0.07391199,0.079848014,0.091591,0.084222995,0.07881999,0.08023401,0.090403005,0.106438994,0.13204,0.174277,0.21371803,0.22693102,0.21167502,0.153391
1.8506584,1.9380773,2.0446515,2.0922465,2.116716,2.1749973,2.2359018,2.1468077,1.948575,1.7453597,1.6399826,1.586483,1.5585842,1.5467323,1.5312612,1.4800224,1.4106754,1.3181851,1.233405,1.1775103,1.1128758,1.0245608,0.90623516,0.80538344,0.70191085,0.62642825,0.5797071,0.5602886,0.55474365,0.57460755,0.60397834,0.6512915,0.6914336,0.7249043,0.747151,0.7802758,0.82902837,0.8782141,0.9082226,0.9308517,0.94399285,0.94195056,0.90830916,0.85844386,0.8441273,0.89079016,1.0150527,1.1295066,1.1804398,1.0853294,0.77491343,0.45849475
1.1861175,1.2071103,1.2394766,1.2534589,1.2431898,1.221426,1.216819,1.2122438,1.1901474,1.1344776,1.0446895,0.94351447,0.87662065,0.8380027,0.80681384,0.7845899,0.7753154,0.75307506,0.68862855,0.60752976,0.5005896,0.42682242,0.3920084,0.37173384,0.333292,0.29534888,0.27008772,0.25384533,0.23612854,0.24358103,0.25345415,0.24315616,0.22480807,0.20604336,0.19020236,0.19424927,0.23235428,0.26659226,0.27822518,0.2691353,0.25801128,0.26053536,0.24606705,0.20308626,0.18361723,0.22247538,0.31158203,0.3998174,0.43731388,0.41516274,0.3194083,0.19407456
1.2227538,1.3291777,1.4365587,1.4789094,1.481623,1.4754342,1.4544744,1.3758544,1.2483542,1.0760058,0.96633065,0.92001224,0.90054774,0.887534,0.8567542,0.82895327,0.78386134,0.6943216,0.59598446,0.5181827,0.4411142,0.39177746,0.34650868,0.31592315,0.3023686,0.30055022,0.30231702,0.296203,0.2727002,0.26627862,0.27976054,0.29672164,0.2812267,0.28054842,0.30172035,0.328641,0.3204537,0.3037005,0.31315565,0.35097474,0.39733195,0.44670415,0.45881686,0.3814966,0.32564354,0.3586658,0.49921864,0.6654498,0.72730565,0.6466539,0.43071103,0.2059873
2.4899263,2.7171288,2.9515991,3.0935342,3.155546,3.1802003,3.133787,2.9762704,2.7764728,2.5545852,2.402687,2.275493,2.172777,2.0628457,1.9863889,1.9278353,1.8761209,1.7824559,1.6343825,1.4853882,1.3029741,1.145232,1.0216007,0.9399158,0.8736996,0.84140176,0.8238549,0.80342644,0.7965274,0.8087506,0.81791615,0.8261427,0.8382827,0.8690764,0.9107437,0.9662556,1.0293598,1.0905918,1.1234918,1.1329463,1.1061232,1.0545896,0.9952667,0.96476126,1.0161743,1.1623187,1.4212375,1.6532601,1.7054733,1.538853,1.1267436,0.65826905
