28.02922,-88.23889
28.03157,-88.22733
28.03391,-88.21579
28.03626,-88.20425
28.03861,-88.19270
28.04095,-88.18117
28.04330,-88.16965
28.04564,-88.15813
28.04798,-88.14661
28.05031,-88.13512
28.05265,-88.12361
28.05498,-88.11211
28.05731,-88.10064
28.05965,-88.08916
28.06198,-88.07768
28.06430,-88.06622
28.06663,-88.05474
28.06896,-88.04329
28.07128,-88.03184
28.07361,-88.02039
28.07593,-88.00895
28.07825,-87.99751
28.08057,-87.98608
28.08289,-87.97466
28.08520,-87.96324
28.08751,-87.95183
28.08983,-87.94042
28.09214,-87.92902
28.09445,-87.91762
28.09676,-87.90622
28.09907,-87.89483
28.10137,-87.88345
28.10368,-87.87206
28.10599,-87.86069
28.10829,-87.84932
28.11059,-87.83795
28.11290,-87.82659
28.11519,-87.81524
28.11749,-87.80388
28.11979,-87.79253
28.21774,-87.30753
28.22000,-87.29630
28.22226,-87.28508
28.22453,-87.27385
28.22679,-87.26262
28.23131,-87.24017
28.23582,-87.21773
28.00200,-88.42751
28.00438,-88.41583
28.00676,-88.40416
28.00913,-88.39249
28.01151,-88.38084
28.01388,-88.36920
28.01625,-88.35756
28.01861,-88.34593
28.02098,-88.33430
28.02335,-88.32269
28.02571,-88.31108
28.02807,-88.29948
28.03043,-88.28789
28.03278,-88.27630
28.03514,-88.26472
28.03750,-88.25315
28.03985,-88.24158
28.04220,-88.23002
28.04455,-88.21847
28.04689,-88.20692
28.04924,-88.19538
28.05158,-88.18385
28.05393,-88.17233
28.05627,-88.16081
28.05861,-88.14929
28.06095,-88.13779
28.06328,-88.12629
28.06561,-88.11479
28.06795,-88.10331
28.07028,-88.09183
28.07261,-88.08035
28.07494,-88.06889
28.07726,-88.05741
28.07959,-88.04595
28.08192,-88.03451
28.08424,-88.02306
28.08656,-88.01161
28.08888,-88.00018
28.09120,-87.98875
28.09352,-87.97733
28.09583,-87.96590
28.09815,-87.95448
28.10046,-87.94308
28.10278,-87.93167
28.10508,-87.92027
28.10740,-87.90888
28.10970,-87.89748
28.11201,-87.88610
28.11432,-87.87472
28.11662,-87.86334
28.11893,-87.85197
28.12123,-87.84061
28.12353,-87.82924
28.12583,-87.81788
28.12813,-87.80653
28.13043,-87.79517
28.13272,-87.78383
28.22838,-87.31013
