0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
0.31961,0.33194995,0.34280002,0.35779,0.37258005,0.38965,0.40216005,0.41135,0.42001998,0.42758012,0.4369701,0.44829,0.4636699,0.4740901,0.48588002,0.49262,0.49100006,0.48098993,0.46375,0.44611013,0.41839004,0.40714002,0.39641988,0.39276993,0.38785994,0.38310003,0.37654996,0.3698299,0.35800004,0.35013998,0.33526003,0.32985997,0.32315004,0.31918,0.3169601,0.31560993,0.3121301,0.30468,0.29495,0.28677,0.26673007,0.25337994,0.23628998,0.22309005,0.20061004,0.18478,0.16782999,0.15684998,0.14147997,0.13384998,0.12080002,0.11369002,0.10658002,0.10110998,0.09521699,0.09043896,0.08472204,0.08038604,0.07595897,0.07121301,0.06788397,0.06135094,0.06272304,0.05795598,0.058397055,0.05750501,0.054224968,0.056242943,0.05851698,0.056993008,0.058990955,0.059915066,0.06298506,0.062762976,0.063618064,0.06621003,0.06754291,0.06538904,0.06708002,0.06946397,0.069314,0.07174599,0.07292998,0.07722998,0.081453085,0.09189403,0.094080925,0.10043001,0.10098004,0.10562003,0.10681999,0.10644996,0.108039975,0.11018002,0.10865998,0.10712004,0.10328007,0.10075998,0.10077,0.100710034,0.10049999,0.098933935,0.098212,0.09618294,0.09835398,0.09707892,0.09948993,0.10197997,0.109160066,0.11260998,0.11676991,0.12187004,0.13738,0.14731002,0.15474999,0.16467011,0.18399,0.19780993,0.20941997,0.21709001,0.23433995,0.23988008,0.24486005,0.25040007,0.25855005,0.25632,0.25487006,0.25450003,0.25074995,0.23644996,0.22640002,0.21673,0.20343995,0.17269003,0.15848005,0.14471996,0.13012993,0.10058999,0.08849907,0.07872403,0.06850898,0.052294016,0.047011018,0.041064024,0.036207914
0.35361004,0.36499,0.37951994,0.39242995,0.40060997,0.41739,0.43078005,0.44404995,0.44939005,0.4544301,0.46579003,0.47430003,0.49154997,0.50197005,0.51578,0.52136004,0.51839995,0.5106201,0.48727,0.46779013,0.4396801,0.42161,0.40920007,0.40266,0.39369988,0.3895899,0.38077998,0.37725008,0.36553,0.36115003,0.35244,0.34824014,0.34182,0.33747995,0.33455002,0.32823992,0.32836998,0.31822002,0.30592,0.29698002,0.27905,0.2683401,0.24567997,0.23215997,0.21424997,0.20123994,0.1846,0.17531002,0.15722,0.14811003,0.13767004,0.13005006,0.11708999,0.11172998,0.10311997,0.097980976,0.093018055,0.086089015,0.08213401,0.077782035,0.07416701,0.06999898,0.067953944,0.06517303,0.06487203,0.063758135,0.065522075,0.06565404,0.06705594,0.06919992,0.069780946,0.073745966,0.07377398,0.07721698,0.08130109,0.08229399,0.08467901,0.08621502,0.08679104,0.088902,0.093076944,0.094643,0.09556699,0.10374999,0.107630014,0.11698997,0.12442994,0.12978005,0.13297999,0.1382401,0.14115,0.14172006,0.14343,0.14182997,0.13817,0.13617003,0.12906003,0.12750995,0.12805998,0.12643003,0.12200999,0.12263,0.12135005,0.118910074,0.11977005,0.11875999,0.11958003,0.118829966,0.12057996,0.12748992,0.13020003,0.13913,0.1519301,0.16381001,0.17343998,0.18237996,0.20472991,0.21585,0.22710001,0.23555005,0.25466,0.26049995,0.26786005,0.27276003,0.27997994,0.28298998,0.28209007,0.28136003,0.27829003,0.27081,0.26240003,0.24913001,0.23587,0.20363998,0.18844998,0.16947997,0.15305007,0.12239003,0.109099984,0.09648001,0.08394897,0.063687086,0.05628109,0.050400972,0.04509306
0.39786005,0.40864003,0.41620004,0.42552996,0.43958008,0.45251,0.45995998,0.47336006,0.47992992,0.48450005,0.49347997,0.49673998,0.51172006,0.52484,0.53476,0.5381601,0.5289401,0.52287996,0.50407994,0.48330998,0.45957994,0.44532,0.43014002,0.42246997,0.41587996,0.41023004,0.4038,0.39218998,0.38237,0.37487996,0.36597002,0.3563999,0.34616005,0.34468007,0.34158993,0.33938992,0.33230007,0.32705998,0.31639004,0.30665004,0.29162002,0.27850008,0.25851,0.24522996,0.22609997,0.21326005,0.20155,0.18850005,0.17561996,0.16467011,0.15354002,0.14796996,0.13706005,0.13082993,0.12621999,0.121090055,0.11399996,0.107930064,0.101909995,0.09923899,0.09307003,0.08714306,0.08464897,0.08389604,0.078040004,0.077086926,0.075224996,0.07455802,0.07624507,0.077906966,0.07560408,0.079602,0.080852985,0.08016801,0.081643105,0.08346903,0.08486903,0.08596301,0.08573699,0.08603203,0.087695956,0.09112406,0.09453106,0.09883404,0.10365999,0.108749986,0.11511004,0.11936998,0.123190045,0.13035,0.13027,0.13121998,0.13061988,0.13246,0.12897992,0.12553,0.121169925,0.11914992,0.11853993,0.11733997,0.11397004,0.11344993,0.109840035,0.11125004,0.10930991,0.10979998,0.11065006,0.11088991,0.11582005,0.12091994,0.12705004,0.13129997,0.14736009,0.15784001,0.16858995,0.17817998,0.20248997,0.21315992,0.2255001,0.23442996,0.25545,0.26279008,0.26769996,0.27273,0.27859998,0.27845013,0.27925003,0.27724004,0.27338004,0.25918996,0.24992001,0.23839998,0.22424996,0.19322991,0.17352998,0.15649998,0.14297009,0.11381996,0.10124004,0.08804798,0.078747034,0.060027957,0.053388953,0.045875072,0.040090084
0.40866005,0.42522,0.43946993,0.46093,0.4721501,0.49639988,0.50838006,0.52076006,0.52763,0.53581,0.5487901,0.55920005,0.57831013,0.58976996,0.60854006,0.61358,0.61037004,0.6039499,0.57069004,0.5511501,0.51812005,0.50191,0.48442996,0.47582006,0.47127008,0.46520996,0.45685995,0.44686997,0.43304002,0.42372,0.41085994,0.40037,0.39050996,0.3851,0.38077998,0.37454998,0.37230003,0.36899996,0.35401988,0.3483901,0.32499003,0.31116998,0.28965008,0.27374005,0.25094008,0.23635995,0.21824002,0.20512998,0.1882,0.17905998,0.16779006,0.16355002,0.14973998,0.14447999,0.13742995,0.12949002,0.123379946,0.11926007,0.11267996,0.108860016,0.10343003,0.098654985,0.09535098,0.09095502,0.09008193,0.086468935,0.084300995,0.08237004,0.083017945,0.08638704,0.08273196,0.08502197,0.08960104,0.09069002,0.09035289,0.091408014,0.09322798,0.09235203,0.09530699,0.094959974,0.09744501,0.102050066,0.104550004,0.11115992,0.11274004,0.12628007,0.12987995,0.13865995,0.14293003,0.14679003,0.15033996,0.15008998,0.1501,0.15173995,0.14559996,0.14666009,0.14257002,0.13980997,0.13778996,0.13685,0.13391006,0.13329005,0.1318599,0.13211,0.13020992,0.13149989,0.13470995,0.13729,0.14602005,0.14949012,0.15583003,0.16345,0.18381,0.19772005,0.20800006,0.22194004,0.25355005,0.26949,0.28480005,0.29833996,0.32167995,0.33172,0.34034002,0.34520006,0.34924006,0.3505801,0.3512801,0.34835994,0.34158993,0.32674003,0.31304002,0.29868007,0.27838004,0.24066007,0.21922004,0.19927001,0.17866004,0.13910997,0.12369001,0.10996008,0.09682894,0.07282698,0.06242001,0.056005,0.051025033
0.41599,0.42610002,0.43439007,0.45085,0.46284997,0.48171997,0.49400997,0.50407994,0.51263,0.51689994,0.5249901,0.5358199,0.54789996,0.56279993,0.57572997,0.58074,0.5754001,0.56648004,0.53805006,0.51494,0.48168993,0.46537995,0.44789004,0.43860006,0.42754996,0.4226601,0.41511,0.40894997,0.39546,0.39187002,0.38178003,0.37286997,0.36391008,0.36248004,0.36,0.35299003,0.3468101,0.33815002,0.32813,0.31858003,0.30332005,0.29012,0.27014005,0.25947,0.24186003,0.22570002,0.20957994,0.19967008,0.18464005,0.17421997,0.16043997,0.15578997,0.14443004,0.13834,0.12940001,0.1243701,0.11336005,0.11073995,0.105970025,0.10150993,0.09571397,0.09357309,0.088147044,0.08476305,0.08438909,0.08276105,0.08237696,0.083392024,0.08274305,0.08615804,0.08598101,0.09003198,0.092625976,0.09389198,0.097393036,0.09790802,0.10035002,0.099539995,0.10126996,0.102920055,0.106080055,0.10865998,0.11047006,0.11843002,0.123489976,0.13044,0.13795006,0.1433599,0.14689004,0.15462005,0.15488005,0.15531003,0.1559,0.15294003,0.15287995,0.15019,0.14361,0.14458,0.14074004,0.13951004,0.13670003,0.13251996,0.13079,0.13116992,0.13019001,0.13223004,0.13171995,0.13240004,0.13893008,0.14117002,0.14538002,0.15292001,0.17124999,0.18083,0.19231999,0.20272005,0.22587001,0.23822999,0.24931002,0.26256,0.27889,0.28921008,0.29518008,0.30062008,0.30591,0.30653012,0.30573,0.3037399,0.301,0.28814006,0.27683997,0.26410007,0.2514,0.21838999,0.20172,0.18264997,0.16516995,0.1322,0.11654997,0.10260999,0.09115195,0.072716,0.06452608,0.05649805,0.050909996
0.41493988,0.4243101,0.4358201,0.45447993,0.47069,0.4881401,0.50467,0.51658,0.52302,0.53589,0.5434799,0.55797005,0.57253003,0.58592,0.59906995,0.60858,0.60288,0.59475005,0.56902003,0.55085003,0.5142101,0.49687994,0.48153996,0.47071016,0.4682101,0.46080005,0.4526701,0.44431996,0.43268,0.4267701,0.41622007,0.40949,0.40013003,0.39844,0.39367998,0.39116,0.38405,0.3782699,0.36636007,0.35689998,0.33811998,0.32339,0.3005799,0.28363,0.26016998,0.24272001,0.22095,0.20789003,0.18903005,0.17648995,0.16201007,0.15227997,0.13931,0.12798,0.1208899,0.11224997,0.10484004,0.10181999,0.09321594,0.0875411,0.08332503,0.07899296,0.07914996,0.07569802,0.07673502,0.076437,0.07470095,0.07570505,0.07755399,0.07961798,0.08184099,0.088048935,0.09123409,0.0931381,0.09649098,0.096204996,0.10171008,0.10365009,0.10310006,0.105970025,0.110440016,0.111199975,0.11527002,0.12549996,0.12958002,0.13980007,0.14408004,0.15329003,0.15908003,0.16260004,0.16635,0.16564,0.16902006,0.16975999,0.16640997,0.16183007,0.15982008,0.15778005,0.15582001,0.15297008,0.15064001,0.14732003,0.14589,0.14318001,0.14037001,0.14017999,0.14074004,0.14156997,0.14643002,0.14929008,0.15313995,0.15705001,0.17359996,0.18253005,0.19139004,0.20248997,0.22504997,0.2379601,0.25018,0.26053,0.2779101,0.28815997,0.29576004,0.30084002,0.31041002,0.31412995,0.31439996,0.31557,0.31303,0.30522,0.29434,0.28117013,0.27037,0.23080003,0.21159995,0.19237995,0.17360997,0.14036,0.12507999,0.11078,0.09750092,0.07562506,0.06417608,0.055564046,0.050161958
0.32048,0.33659005,0.34791005,0.3617699,0.37752998,0.39656007,0.40555,0.4245001,0.43023002,0.43516016,0.4482001,0.45791006,0.47236001,0.48723006,0.50241995,0.50797,0.50615,0.49909008,0.47638,0.45482993,0.42381012,0.40778005,0.3954699,0.38374007,0.37827992,0.37608993,0.3649,0.36159003,0.34981,0.34744,0.33708,0.3332399,0.32481003,0.3232,0.32107008,0.32194006,0.3159001,0.30904007,0.29693997,0.29120004,0.27286005,0.26005995,0.24426997,0.22823,0.20854008,0.19428992,0.17668998,0.16700006,0.15122998,0.13994992,0.12752998,0.11859,0.10923004,0.10220003,0.09304297,0.09029901,0.08304703,0.07743907,0.07104099,0.06961501,0.06424904,0.0623101,0.061879992,0.0601871,0.059599042,0.061892033,0.06088698,0.064022064,0.06673801,0.06763792,0.07024503,0.07439506,0.07692504,0.08030903,0.083909035,0.08745706,0.08781004,0.09071207,0.092993975,0.09364104,0.09761596,0.102429986,0.107439995,0.112509966,0.120380044,0.12774003,0.13418996,0.13992,0.14427006,0.14919007,0.14979005,0.14997005,0.15177,0.15060008,0.14998007,0.14831007,0.14446998,0.14260995,0.13795006,0.13787997,0.13367999,0.13222003,0.13196003,0.13110995,0.13001001,0.12805998,0.12728,0.12799,0.13325989,0.13506997,0.14050996,0.1455599,0.15919995,0.16697991,0.17726994,0.18760002,0.20990002,0.22099006,0.23104,0.23974001,0.25627005,0.26319993,0.26989996,0.27648997,0.28452992,0.28803003,0.2875501,0.28717995,0.28485,0.27534997,0.2664001,0.25678992,0.24430001,0.21301997,0.19640005,0.17825007,0.16028011,0.12864006,0.11668992,0.10426998,0.090984106,0.074720025,0.06292808,0.054437995,0.04920292
0.56313,0.56906986,0.5785401,0.59368,0.6043401,0.62156,0.6267201,0.6357,0.64047,0.6393001,0.64732003,0.65294003,0.66517997,0.67321014,0.6830801,0.68443,0.67619,0.66278005,0.63040996,0.6048701,0.56873,0.54628,0.52494,0.5151199,0.50324,0.49479008,0.4873401,0.47736,0.46389997,0.45230997,0.4426,0.43681002,0.42615008,0.42436004,0.41925,0.41438997,0.40625,0.39942002,0.38637996,0.37500012,0.35729003,0.34308004,0.32112014,0.30552995,0.28134,0.26934993,0.24910998,0.23563993,0.22128999,0.21060991,0.19690001,0.18499005,0.17294991,0.16759992,0.15537,0.14903009,0.14134991,0.1361301,0.12965,0.124880075,0.11792004,0.11484003,0.11240995,0.11091995,0.11029005,0.10782993,0.10747993,0.10789001,0.10759997,0.11081004,0.10997009,0.11239004,0.113349915,0.11855996,0.11896992,0.12132001,0.12242997,0.12366998,0.124439955,0.12384009,0.12656009,0.13442004,0.13328004,0.13950002,0.14234996,0.15157998,0.16012001,0.16526008,0.16498995,0.17185998,0.17430997,0.17622006,0.17036998,0.17222989,0.16580999,0.16772997,0.15899003,0.15765,0.15599,0.15146005,0.14753997,0.14570999,0.14507997,0.14495993,0.14094996,0.14111996,0.14243007,0.14407003,0.1487701,0.15409994,0.15714002,0.16241002,0.17666006,0.18441999,0.19762003,0.21202004,0.23205006,0.24591005,0.2557,0.26252007,0.28135002,0.28903008,0.29586995,0.30079007,0.30675006,0.30697,0.30788004,0.30869997,0.30386996,0.29252005,0.28113997,0.27004004,0.25431,0.22142994,0.20588994,0.1876601,0.16910994,0.13812995,0.12352002,0.108420014,0.09568298,0.081251025,0.07153499,0.06097102,0.055492043
0.40241003,0.41181993,0.42163002,0.44177997,0.4536301,0.47703993,0.48649013,0.49591994,0.50493,0.5092801,0.52006006,0.52862,0.54732,0.55894995,0.5725601,0.5732999,0.5714799,0.56042004,0.5322801,0.51019,0.47881997,0.45844996,0.4411701,0.43228006,0.42367005,0.41753995,0.40862012,0.39892995,0.39092994,0.37991,0.37057996,0.36626995,0.35586,0.35339987,0.34731996,0.34843004,0.34388995,0.33719003,0.32567,0.31616998,0.29837,0.28476,0.26383007,0.24765003,0.22501004,0.21165991,0.18997991,0.18130004,0.16534007,0.15367997,0.14437997,0.13635004,0.12813997,0.12145996,0.111389995,0.10843992,0.10016,0.09713197,0.0909071,0.09043896,0.08249903,0.08241904,0.077775955,0.07904303,0.07504094,0.07568705,0.076192975,0.07792091,0.07801497,0.079077005,0.07982707,0.08221698,0.08440399,0.08761299,0.090394974,0.09103799,0.09166205,0.09498298,0.09567392,0.09470594,0.096783996,0.099756956,0.106189966,0.10816002,0.113409996,0.12277007,0.12712002,0.13224006,0.13625991,0.1393801,0.14253998,0.14438999,0.14273,0.14236999,0.13849998,0.13808,0.13459003,0.13351,0.13134992,0.12888002,0.124359965,0.12574005,0.12291002,0.123110056,0.12501001,0.12380004,0.12330997,0.124120116,0.13278997,0.1358,0.14006996,0.14529991,0.15989006,0.17142987,0.18263996,0.19187999,0.21478009,0.22789001,0.23936999,0.25074005,0.27236998,0.28028,0.28464997,0.29117,0.29867005,0.30053997,0.3025899,0.3018601,0.29842007,0.28596008,0.27626002,0.2640699,0.24792004,0.21363997,0.19507003,0.17771006,0.16024995,0.12680006,0.110929966,0.09718001,0.08590305,0.06576109,0.056987047,0.05148101,0.04569006
0.18058002,0.18490005,0.19737995,0.20784998,0.21981001,0.23348999,0.23918998,0.25128007,0.25765002,0.26023006,0.26962996,0.27661002,0.28849006,0.29684007,0.30794,0.3133899,0.31044996,0.30435002,0.28778994,0.27699006,0.25296998,0.24442995,0.23455,0.22994006,0.22364008,0.22121,0.21508992,0.21173,0.20415998,0.19584,0.19192004,0.18924999,0.18423009,0.18517995,0.18154001,0.18233001,0.18027008,0.17584991,0.17085993,0.1631,0.15559995,0.14704001,0.13610995,0.12708998,0.11102009,0.10754001,0.09634197,0.09085405,0.079926014,0.079739094,0.072155,0.067921996,0.061938047,0.057482958,0.054224014,0.052962065,0.049144983,0.04674101,0.043542027,0.040315986,0.037868023,0.034823895,0.033427954,0.03254199,0.031159997,0.03355491,0.033458948,0.036391973,0.036207914,0.038650036,0.037294984,0.03834796,0.03873396,0.039263964,0.04182005,0.043779016,0.04402697,0.04646504,0.04675603,0.04818499,0.05058801,0.051414967,0.052153945,0.057072043,0.05722201,0.06337404,0.06591201,0.07133198,0.073461056,0.074285984,0.07496703,0.07611692,0.077764034,0.076895,0.077636,0.07728505,0.07223296,0.072981,0.07237899,0.070938945,0.067788005,0.06557703,0.06502402,0.065442085,0.065135,0.0656451,0.06304002,0.065243006,0.07070696,0.07402599,0.078807,0.083440065,0.092611074,0.101529956,0.10690999,0.11266005,0.12828004,0.13551009,0.14348006,0.1532501,0.16672993,0.17164993,0.17463994,0.17635,0.18077004,0.18058991,0.17982996,0.181,0.17651999,0.16727996,0.16201997,0.15156007,0.14144003,0.12252009,0.11302996,0.10334003,0.092025995,0.07176304,0.06330502,0.05420804,0.048290014,0.035022974,0.029793978,0.024664044,0.022364974
